shap_avg_er_wait_minutes,shap_hospital_overall_rating,shap_MORT_30_AMI,shap_MORT_30_HF,shap_MORT_30_PN,shap_READM_30_AMI,shap_READM_30_HF,shap_OP_18b,shap_OP_22,shap_COMP_HIP_KNEE,shap_median_income,shap_poverty_rate,shap_unemployment_rate,shap_pct_uninsured,shap_pct_college_educated,shap_bed_count,shap_pct_metro,shap_pct_rural,shap_avg_rucc_score,shap_deprivation_index,shap_hospital_type,shap_hospital_ownership,shap_emergency_services,facility_id,predicted_satisfaction,actual_satisfaction,top_negative_feature,top_positive_feature
0.061618406,-3.8952522,0.027324341,-0.043307774,0.2525038,0.16467653,-0.1382626,-0.33915207,-0.19835526,0.4101413,0.35769847,0.36088747,0.053596657,-0.024695594,0.24513297,-2.560708,0.25003928,0.06128131,0.15313381,-0.08317778,-0.101025626,0.5184872,-0.011846191,33,68.5,64.12,hospital_overall_rating,hospital_ownership
0.0033845399,-2.128053,0.18410127,0.03488875,0.40963122,0.049376514,-0.026207492,-0.11560335,-0.22694716,0.45566624,0.5745499,0.40257207,0.09784629,0.017249595,0.23356691,0.74424464,0.43293604,0.06655803,0.12736152,0.0023235104,0.031680185,0.2415972,-0.020137176,34,74.57,76.62,hospital_overall_rating,bed_count
0.23959112,1.0506663,-0.8065964,-0.07594698,-0.19901726,-0.105504416,-0.09307077,0.09367414,-0.2607371,0.87426686,0.071837716,0.21687369,0.017334994,-0.079947546,-0.14253798,-1.4573573,0.29641724,0.050149273,0.10589953,-0.11177291,-0.057385694,-0.61891615,-0.027416954,35,71.95,70.5,bed_count,hospital_overall_rating
0.052232932,0.07030946,-0.28481454,0.64204884,-0.5021609,-0.11112675,0.041218575,-0.13121398,-0.049854018,1.3394003,0.22704971,0.24876185,-0.051514566,-0.06359614,0.014744245,-2.6575434,0.11109233,0.019207746,0.07797662,-0.06334904,-0.104475915,0.08754187,-0.035492398,36,71.85,71.75,bed_count,COMP_HIP_KNEE
-0.10180285,0.871738,0.10851868,-0.19146393,0.15145637,0.058822986,-0.18241675,0.15959702,-0.43595827,-0.112049975,0.24417943,0.27049702,0.042097356,-0.02965338,-0.15657826,0.4687589,0.22883528,0.035311244,0.048816502,-0.014983991,0.13847038,-0.43434557,-0.018183623,37,74.12,71.25,OP_22,hospital_overall_rating
-0.07883739,-2.4232066,-0.40292126,0.078095965,0.042457014,-0.21439284,-0.21194917,-0.21121195,-0.17755923,-0.09425787,0.5788118,0.38858563,0.11905621,-0.03922069,0.14121346,-2.4042912,0.38809997,0.011023912,0.16360182,-0.053413607,-0.05880047,0.3372817,-0.014651469,38,68.84,69.25,hospital_overall_rating,median_income
-0.25491023,-0.041400705,0.12751196,-0.42057696,0.40085107,0.04107891,-0.08335814,-0.20201884,-0.3092893,-0.10018227,0.20443858,0.28196958,0.06856028,-0.007164923,-0.13359936,-3.1489263,0.38034508,0.019466236,0.121760055,-0.09305183,-0.11348466,-0.6066602,-0.02915456,39,69.08,63.62,bed_count,MORT_30_PN
-0.3251605,-0.3585039,-0.17023143,-0.6124733,-0.7551259,-0.84398353,-0.15131786,-0.23908933,0.24975356,0.14808004,0.2525681,0.2851252,0.107144274,-0.03231573,-0.030171493,-2.7744937,0.14415918,0.014808231,0.11308914,-0.028102007,-0.09640464,-0.114136994,-0.016935252,40,67.74,65.88,bed_count,poverty_rate
-0.38010156,0.11513484,0.14352264,0.11446078,0.027094828,0.092433,0.1227328,-0.20603263,-0.25968617,-0.16039443,0.4517234,0.47966513,9.067415e-05,-0.00464657,-0.029913563,1.2222939,0.33345464,-0.014882748,0.08697731,0.073483534,0.2949546,-0.12163268,-0.027690226,41,75.33,72.88,avg_er_wait_minutes,bed_count
-0.1503611,-2.2778585,-0.28998414,0.1421539,-0.07783317,-0.008150609,0.09931,-0.28145033,-0.18299946,-0.09975506,0.43360248,0.3502023,0.021789657,-0.03294707,0.0645066,-2.5310566,0.25710666,-0.007173714,0.15490417,-0.096437186,-0.074309416,0.19335781,-0.014654066,42,68.57,67.25,bed_count,median_income
0.4448716,0.16894437,0.18908879,0.09715711,-0.015688276,0.08092416,0.031912196,0.27983993,-0.48150852,-0.1704925,0.7044943,0.4156193,-0.03900924,-0.07450831,-0.07476742,1.7508059,0.21970184,0.013068414,0.055463847,0.07959666,0.41906175,-0.27174616,-0.033724643,43,76.76,83.75,OP_22,bed_count
0.6160348,0.15030505,0.1660412,0.09598592,-1.0451454,0.07121272,0.036056224,0.31199995,-0.29704764,-0.14069282,0.51599944,0.19409707,0.030044619,-0.09282414,-0.12611313,1.8887539,0.24068686,0.064824335,0.047740176,-0.030828923,0.3292214,-0.46224853,-0.029771341,44,75.51,77.0,MORT_30_PN,bed_count
-0.31253222,-3.3261638,0.123218946,-0.22743677,0.29058778,0.037142094,-0.075572364,-0.2551082,-0.34800005,-0.13225412,0.37189192,0.37364033,0.012350207,-0.042810403,0.05165036,1.1030916,0.36308455,0.011719269,0.07869741,-0.08830375,-0.012935073,0.102274776,-0.022652961,45,71.05,69.38,hospital_overall_rating,bed_count
-0.18461028,-2.342913,0.101474166,0.091539085,0.20919454,-0.1573125,0.07058826,-0.21187846,0.5831375,0.41500235,0.6100796,0.4503367,0.16448015,0.008654032,0.24605827,-2.4531686,0.33951187,0.029678127,0.1320049,0.013485631,-0.03191485,0.26869193,-0.012916104,46,71.31,72.38,bed_count,median_income
0.8281123,-4.417404,0.12613194,0.14370851,0.09847824,0.05597537,-0.22819814,0.30909374,-0.043138202,-0.06587086,0.650281,0.55340874,0.110628024,0.08431667,0.31756392,-1.4830158,0.54414165,0.075562656,0.09248609,-0.041139856,0.027659846,0.24098638,-0.02212361,47,70.93,80.25,hospital_overall_rating,avg_er_wait_minutes
-0.27095568,-0.36056295,0.1308928,-0.3934782,-0.1642259,-0.31915545,-0.6436825,-0.20937036,-0.04356559,0.04678264,0.17139551,0.04226137,0.074343994,-0.015513083,-0.01905434,-2.7368283,0.13697928,0.03072912,0.09050355,-0.06823509,-0.05739162,-0.031257994,-0.029689712,48,68.34,68.62,bed_count,median_income
-0.16822845,0.018140983,-0.2003646,0.20676294,0.380365,-0.3898665,-0.10790131,-0.17503674,-0.057241093,0.5714504,0.20937338,0.21706633,0.089480996,-0.037640013,-0.047981102,-2.9865928,0.25305983,0.037639957,0.10652085,-0.061471432,-0.15527353,-0.58961934,-0.030076012,49,70.06,71.5,bed_count,COMP_HIP_KNEE
-0.2622279,0.0020272082,0.13934982,0.25161168,-0.4257658,0.084202126,0.036008902,-0.3204744,0.41637903,-0.08009392,0.44283345,0.5547041,0.042990766,-0.022504235,0.064741604,0.054915197,0.38658252,0.030527718,0.12985164,0.00090103503,-0.032140564,-0.101766795,-0.008985651,50,74.36,72.5,MORT_30_PN,poverty_rate
